% attributes count = 2
% vectors count = 1000
% Circular separated with radius = 50.0
% Center at [0.0 (all dimensions)]
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
32.011124,-33.647644,1
-14.644714,89.98355,0
-5.7915497,95.767044,0
-71.53464,50.029785,0
33.536163,29.061127,1
-60.6958,55.36267,0
51.390488,-0.19252777,0
-40.12042,37.175613,0
-35.311867,73.53357,0
33.140488,23.550453,1
8.6237335,-66.02077,0
-82.873924,-15.819237,0
-38.166374,81.868164,0
48.72136,-23.544945,0
95.29019,-24.112968,0
90.47255,-53.87178,0
-0.42838287,44.198578,1
50.361084,62.568268,0
54.722275,-0.3022461,0
77.130264,1.5724411,0
-27.261063,-96.64676,0
-97.29635,-71.99498,0
-35.211357,-62.64111,0
-71.57004,76.016754,0
63.584274,73.45299,0
-66.66555,-23.636124,0
-34.08593,-48.354347,0
-79.74811,-61.64789,0
51.141815,-79.272156,0
-90.33819,-41.810562,0
-21.435318,-65.682144,0
-58.75825,-3.9614716,0
69.83586,44.83441,0
-50.400105,-59.181805,0
-57.770206,-7.3320236,0
-56.656643,-35.189438,0
-25.652336,48.95488,0
35.584106,-40.611214,0
-42.06844,37.74156,0
-50.82046,-61.312233,0
-82.22429,-63.04086,0
51.45021,99.79814,0
-33.7063,37.51126,0
-39.187622,36.071777,0
0.12073517,-74.08896,0
-88.29147,14.384666,0
43.20056,-51.71432,0
-35.585876,47.710938,0
94.12665,-87.79982,0
2.7443771,-78.88031,0
45.07779,-12.365608,1
75.37999,-37.686115,0
5.5086594,79.58043,0
5.476082,-12.911453,1
-14.1742325,-37.889713,1
-81.585884,95.59335,0
-25.400002,-12.603584,1
19.001617,47.042328,0
-22.562805,13.050568,1
-12.880112,-1.4786453,1
-23.551888,-72.72064,0
-45.234543,57.801834,0
16.330017,-6.262436,1
-22.37407,-29.422989,1
-73.60799,-13.406837,0
20.776558,-60.705334,0
-52.573174,-58.799328,0
-59.221024,53.768417,0
-51.84824,-93.08748,0
-34.591103,-96.99295,0
-11.987755,-44.059307,1
-52.565094,33.20958,0
-88.53862,75.81381,0
0.3157959,18.631294,1
43.399277,52.857742,0
11.379158,20.033813,1
96.27652,40.260315,0
-28.010727,19.690392,1
96.43602,-3.335968,0
64.407776,42.42482,0
90.58809,-20.1371,0
1.4956131,-1.079071,1
2.883995,-14.937195,1
28.100403,-79.45329,0
78.87303,28.29744,0
61.918503,94.19548,0
74.699265,92.97455,0
76.81633,-48.845886,0
-71.78642,-18.839737,0
13.040947,-84.23414,0
83.247635,41.09192,0
36.44507,-22.336128,1
-70.88371,-21.457253,0
62.79715,-84.39161,0
-35.51471,-97.95556,0
-86.55762,71.46925,0
98.06195,0.60653687,0
75.025696,-50.347507,0
-41.864212,7.454422,1
-1.3165741,-99.72184,0
-1.1823196,64.44035,0
-6.9447174,-66.32615,0
-37.10487,-30.834915,1
40.66388,-90.74344,0
89.54263,60.47992,0
98.65416,-56.366714,0
-60.304226,-22.077492,0
32.580505,90.758224,0
52.718185,16.772018,0
75.87462,-38.75718,0
45.06099,-7.207779,1
7.822418,-31.577774,1
14.93428,29.364105,1
99.32379,-84.46012,0
26.58088,84.59204,0
88.40411,71.41939,0
13.562836,-52.899323,0
16.391876,-78.748795,0
62.541092,46.622314,0
80.87186,24.628815,0
-82.65028,-50.89246,0
-57.030785,64.72746,0
77.73573,35.97455,0
-35.78582,30.52594,1
57.956375,3.2453918,0
42.18338,-61.77008,0
17.495605,58.700256,0
64.308304,-31.436852,0
79.48239,43.813873,0
-94.312546,-26.649559,0
11.962952,-37.87948,1
-40.566742,-12.175522,1
-36.999683,-43.212646,0
7.0309525,74.346054,0
12.644051,47.55829,1
11.381241,-81.26468,0
33.133896,-89.13629,0
-53.355587,-97.83072,0
-66.72898,66.77397,0
66.69838,79.6087,0
3.71109,22.60733,1
57.96904,9.975494,0
-22.996284,15.386139,1
-77.41397,-96.1909,0
-30.47712,-6.0323944,1
-5.737335,80.88867,0
82.00348,-13.441788,0
1.9941177,63.315308,0
-98.78048,10.454193,0
-34.38691,-31.193413,1
67.409485,-1.7675018,0
-67.562485,14.463402,0
50.37503,38.25023,0
-54.309612,93.0269,0
-88.25069,-42.807083,0
-26.933151,-58.348812,0
-78.24845,-91.455185,0
17.769089,-12.52478,1
45.814835,-26.762428,0
84.524994,-75.21478,0
-80.20549,27.365921,0
79.55165,55.316513,0
-7.9654083,86.74237,0
86.120346,6.2518845,0
26.390167,-0.8048401,1
-23.675468,29.731033,1
-67.62587,-77.10289,0
-5.1516113,83.19359,0
-83.08351,-97.35462,0
-18.022102,91.63614,0
36.795364,35.89508,0
90.79254,0.871315,0
-28.381287,6.4826355,1
-2.579506,45.134964,1
34.306183,-43.64246,0
-96.564285,72.89499,0
89.341,-35.726387,0
85.920685,1.4736633,0
-41.368168,5.274452,1
-36.58632,-95.89734,0
60.645187,-24.060287,0
14.905022,72.28798,0
50.53894,-12.25766,0
14.241707,41.86989,1
-92.65198,54.499237,0
-76.25433,22.92067,0
48.843735,-70.21903,0
28.545502,31.630615,1
45.508118,-13.72126,1
87.0677,86.591095,0
-47.864426,71.509766,0
23.32779,-97.60943,0
-21.106163,22.8749,1
-6.8921356,-9.802063,1
-16.75299,-20.034615,1
-81.19812,-41.985203,0
79.96344,-6.851898,0
6.655609,92.53664,0
-61.49824,94.841705,0
-64.676765,0.07017517,0
65.38858,-26.47097,0
-63.891853,-14.287544,0
-46.228325,70.433304,0
72.95061,-41.995506,0
23.152695,-95.0805,0
74.17035,-39.469234,0
-30.625847,-72.93608,0
68.1676,-47.55691,0
98.25513,-5.531204,0
-68.26902,-13.354507,0
25.840996,75.28096,0
72.29643,67.38454,0
-5.947418,-9.49334,1
-65.55352,-91.752785,0
-27.409775,-73.90261,0
-53.865555,-42.92357,0
96.26909,68.91438,0
1.5634155,6.0719833,1
21.531883,50.562256,0
-84.654594,63.352585,0
76.70557,-80.78493,0
-23.488907,-73.4877,0
27.639244,-98.05899,0
-18.863823,69.21295,0
83.68031,68.66441,0
-71.20467,28.611206,0
28.51654,-36.21295,1
-69.24959,64.427475,0
76.2319,-67.37684,0
-3.275261,49.72119,1
24.994568,37.185516,1
42.310333,-51.054935,0
-90.884705,-70.50731,0
90.5009,40.608612,0
34.785355,30.450745,1
28.53798,49.889023,0
25.622849,48.494644,0
25.203453,-29.214584,1
-98.77284,64.55861,0
13.886963,-22.079819,1
65.26112,-91.42377,0
-96.79856,54.849,0
-10.848938,-42.40501,1
-10.38369,-1.2511139,1
-56.684917,-3.2778854,0
15.52224,-99.38837,0
-50.09962,1.5014648,0
41.33728,45.57727,0
9.330536,23.954407,1
-18.290741,29.800842,1
-12.465843,-5.6001816,1
93.56467,-51.747192,0
-58.453518,-12.698143,0
97.6996,-27.88839,0
-91.754,-58.22372,0
-34.196327,-95.085304,0
84.30827,-23.980507,0
-88.746994,-16.607956,0
85.02951,89.806885,0
-15.296188,71.91405,0
-14.506966,10.3400345,1
94.463425,88.743515,0
-80.37852,4.1052475,0
46.810806,-2.2107086,1
-59.021393,51.03833,0
-67.115875,1.3166809,0
33.754288,57.17395,0
76.44794,77.078064,0
3.1870575,-31.910011,1
0.7981262,-82.41557,0
71.74849,-62.159252,0
73.25809,49.746674,0
-39.26571,-93.29458,0
42.16461,39.873245,0
46.477127,45.96086,0
-6.062378,22.018517,1
46.21672,-60.979168,0
-73.22696,-73.06595,0
10.732712,85.66672,0
-37.306614,-65.617226,0
-20.833466,-60.273006,0
1.135994,23.333931,1
86.02847,20.446327,0
-45.0458,52.564377,0
1.2066269,73.91736,0
3.6519775,-31.550209,1
-69.13521,3.331337,0
-51.132114,-92.76322,0
10.436401,-64.563385,0
-36.43042,-64.15461,0
-19.50772,-54.523552,0
-10.88472,-41.74151,1
-47.92007,24.011063,0
-46.715893,-96.18705,0
40.202713,36.410965,0
57.572327,-90.78495,0
72.4274,99.441864,0
13.497971,7.8604965,1
64.178925,-20.755875,0
95.35159,48.047134,0
93.10144,1.1425858,0
20.77613,-24.0737,1
1.9352417,-45.89476,1
-29.24559,39.546555,1
12.6792755,-28.6977,1
-82.97222,97.10156,0
44.379303,-26.900116,0
37.664978,45.501083,0
92.70215,-30.044731,0
-29.55442,24.642776,1
51.52678,-59.936428,0
-21.082504,98.26944,0
35.103165,-79.76126,0
-12.566368,-35.945297,1
-6.099739,-21.60608,1
79.167786,-96.432236,0
