% attributes count = 2
% vectors count = 1000
% Circular separated with radius = 100.0
% Center at [0.0 (all dimensions)]
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-277.215,-226.62964,0
-53.58084,73.76636,1
283.93713,-127.217316,0
162.811,-240.65141,0
29.828491,-70.58348,1
-264.21805,-16.066254,0
170.94348,-224.0159,0
-104.70918,75.61981,0
-231.42117,-70.3181,0
281.77087,151.94302,0
53.327972,64.906494,1
146.0487,-183.35109,0
-268.41394,-238.33954,0
63.831482,180.55078,0
186.83234,35.96588,0
299.9367,46.680817,0
-281.02957,-106.43683,0
-171.66191,-155.72772,0
220.27905,251.88446,0
-196.25209,-290.80014,0
-239.44876,247.7514,0
-211.143,-9.661346,0
246.77118,189.45859,0
68.499725,11.890045,1
-165.79634,221.86353,0
127.91095,-58.941833,0
296.04218,151.81699,0
36.890564,298.5456,0
107.787476,228.72736,0
265.08862,6.174835,0
-229.70053,191.26205,0
155.77365,91.52597,0
281.99127,-23.845825,0
-293.6562,-136.18164,0
275.90515,-261.2115,0
243.49133,-61.650665,0
-238.56413,257.7058,0
-160.6739,-81.360825,0
-146.76181,-13.62677,0
291.9146,-153.98244,0
-68.619095,175.53006,0
189.5893,295.7223,0
-242.9188,-181.8704,0
193.03006,236.66736,0
-232.62192,-133.64233,0
202.51926,78.87366,0
89.87613,236.42047,0
-70.07997,-291.8596,0
155.21494,-248.2453,0
-234.17412,151.87302,0
-259.8078,-20.976562,0
121.9776,233.06708,0
48.49295,83.72397,1
237.44293,-48.713547,0
28.749908,-26.558167,1
-35.798187,-19.94336,1
141.18372,-93.250595,0
93.67926,189.43317,0
214.3454,224.45575,0
-49.58403,290.58862,0
-117.493256,107.37698,0
-137.53485,-243.90054,0
162.0177,-118.99347,0
120.25302,95.19824,0
211.47293,-227.57394,0
-43.46225,-242.4057,0
-174.1958,-21.491669,0
-280.24817,-197.4497,0
-61.5627,-173.0752,0
-228.59087,201.73972,0
-251.57326,102.68085,0
115.40823,244.99463,0
251.00458,-127.136444,0
-37.039062,187.39014,0
-269.74734,170.9967,0
-248.47607,-185.80234,0
171.63187,99.85971,0
-230.49088,7.0743713,0
169.87479,77.83731,0
90.69803,270.4433,0
144.27158,-111.17189,0
-6.8173523,121.35361,0
-71.3466,299.45117,0
227.30414,59.196625,0
-122.60121,-120.24963,0
205.46002,-86.510254,0
-278.43512,104.80774,0
13.796967,-281.47488,0
120.76642,24.637238,0
-108.29283,-116.98253,0
-213.30032,-231.55823,0
-110.307526,-289.03,0
203.23257,96.77762,0
199.56061,286.81378,0
-64.24559,131.38022,0
153.0651,-36.537537,0
109.00311,277.3676,0
105.99954,186.25897,0
37.861023,206.24716,0
164.40555,-251.12216,0
-180.36662,190.6142,0
167.95071,-190.91754,0
-260.9026,272.6394,0
-77.316376,292.82172,0
199.13342,-291.59363,0
171.26953,284.4878,0
-29.977417,58.866882,1
3.459015,39.24179,1
249.51947,195.64807,0
-57.058197,-239.85013,0
-56.419083,-243.84871,0
198.88425,258.45923,0
114.1564,217.34662,0
141.34909,59.678467,0
295.71832,-238.62245,0
-250.55626,-168.78706,0
156.23407,278.54974,0
-10.558136,-210.85788,0
-228.94495,-5.5092773,0
-192.728,192.31116,0
-210.27802,118.22635,0
-134.33583,-248.7544,0
5.9579773,-213.36707,0
-79.10437,167.4834,0
-109.8544,-171.81711,0
17.47348,-124.24507,0
111.35681,85.11368,0
281.242,187.02704,0
162.52814,18.111084,0
12.299561,24.763763,1
107.64755,271.30762,0
18.759216,109.84186,0
-206.15822,-2.1409302,0
