% attributes count = 2
% vectors count = 1000
% Almost linear separated with margin = 50.0
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
43.327408,96.13512,1
-10.335876,8.663704,0
-8.079353,-78.55948,1
90.69301,26.686302,1
51.231354,-76.93672,1
-71.219406,80.779175,0
-25.136345,-62.084145,0
-73.71443,65.9509,0
-38.12608,71.89035,0
96.82364,34.57704,1
23.67482,36.588516,1
68.24234,-38.17554,1
77.18161,-78.33562,1
13.384178,-33.16719,1
31.247818,83.35225,1
14.376511,82.823715,0
-35.11738,31.509964,0
70.757095,49.190308,1
83.43796,5.5159836,1
-97.435524,84.75302,0
82.89809,-56.383957,1
96.59253,-6.249649,1
52.60022,-29.176926,1
-2.6709366,54.765778,0
-96.84023,-42.767845,0
53.66864,-52.324654,1
-80.930725,-68.380325,0
98.309784,84.83267,1
4.385231,-25.545898,1
58.81743,-69.9086,1
-84.88739,59.953156,0
77.65169,12.897827,1
53.341736,-31.419556,1
-46.965744,-25.431076,0
35.888046,49.381973,1
3.343872,-79.995674,1
44.130142,75.821106,1
-95.19684,-9.536797,0
-88.06306,-90.72174,0
-44.4611,21.670044,0
15.020248,-38.860764,1
-21.33165,6.395996,0
87.7442,-72.59569,1
92.88454,41.795364,1
-87.63164,-40.992416,0
51.083786,-90.84044,1
0.8965454,-73.45579,1
-24.101166,7.383789,0
-78.851074,-60.13924,0
-94.4283,41.32425,0
6.370079,-9.028069,1
4.419998,52.356857,0
31.630981,-96.97552,1
-10.7784195,70.83099,0
40.478546,88.53714,1
76.162125,68.74455,1
61.730988,-53.09684,1
-37.439407,-4.1501007,0
-30.986511,64.149796,0
23.408295,93.53232,1
4.573082,-82.79301,1
24.826935,-1.8138351,1
-85.89246,-69.55488,0
34.87195,-30.553772,1
20.78823,83.99991,1
46.67723,-91.48528,1
-95.64793,31.40979,0
-80.24191,67.95735,0
45.083267,48.349518,1
-7.640724,96.72455,0
42.700577,-95.24904,1
-78.944595,-87.21347,0
26.611328,-70.63958,1
-36.618645,50.654327,0
36.688812,-81.210846,1
35.090576,-7.8090286,1
72.67464,-67.62802,1
45.709396,-43.49969,1
-14.496727,9.656288,0
44.37607,98.31377,1
15.291283,49.101974,1
-7.4768143,44.17778,0
-31.571144,94.580215,0
-79.21732,-18.122208,0
-29.8432,90.51727,0
24.562965,-89.082466,1
29.207306,-12.96315,1
-93.93212,-39.495163,0
-92.46782,-96.78721,0
80.09755,86.378296,1
0.8375397,89.5513,0
26.791573,-31.058258,1
-95.41069,70.08005,0
96.54532,-47.443413,1
65.349045,-10.070892,1
50.65016,-10.525635,1
-1.2548065,46.04648,0
-44.220734,-18.224724,0
-6.9202423,-63.301037,1
-58.739655,50.810837,0
11.516251,-70.33322,1
-24.85257,-93.968185,0
55.989517,19.548073,1
-81.57602,33.7153,0
-37.5762,-78.65238,0
76.23982,80.98773,1
59.540466,-69.46858,1
80.90497,-28.326653,1
-57.51786,-31.013107,0
13.433281,-42.119564,1
-12.32444,31.836304,0
-1.2502213,-15.129456,1
-33.199677,-48.191315,0
94.245285,26.638664,1
5.4264984,-94.11678,1
-67.81746,35.76509,0
-24.170975,3.1753998,0
73.528305,43.482727,1
13.6822815,13.544373,1
-15.893814,-55.46399,0
4.783615,23.158142,0
6.290947,0.64966583,1
-63.73876,-56.75927,0
-47.3119,-9.225159,0
81.64662,71.889175,1
-8.986572,84.53674,0
-72.15775,24.930069,0
-26.905205,-62.821877,0
62.779877,-90.51591,1
12.414375,-8.009026,1
-48.278152,-33.351547,0
-85.23959,4.773056,0
-48.52086,-99.64513,0
-77.575584,-33.177162,0
29.462296,-14.762085,1
-79.41731,-50.81595,0
12.8638,-24.45906,1
9.383881,-46.4537,1
-23.720642,-47.09209,0
6.3972244,-25.846466,1
-34.667847,22.978935,0
11.458603,-49.732452,1
49.373215,-0.97158813,1
39.58487,-79.821075,1
98.08774,95.45427,1
-92.490845,75.453064,0
84.84573,-5.252266,1
45.523224,-41.955383,1
-66.107086,48.64296,0
98.69513,-56.891674,1
-51.014534,27.46627,0
80.163895,6.780281,1
87.83055,-58.72483,1
44.095383,-9.101578,1
-20.298454,22.197495,0
-42.9838,-54.423424,0
22.8555,-20.548584,1
63.625748,55.741806,1
-56.11223,-83.152664,0
-33.180984,-60.81027,0
52.91658,37.14299,1
71.535324,-58.59155,1
86.49812,48.443375,1
-21.81813,46.366135,0
-5.56913,34.90764,0
53.762558,-27.346329,1
97.11496,57.344894,1
-42.52353,-69.18187,0
-83.10882,-91.1481,0
-47.567432,-19.581207,0
69.79108,66.465195,1
-3.7399826,-55.717587,1
93.38806,-48.12885,1
70.77678,12.629959,1
-18.052956,-57.462696,0
-15.488586,-98.807884,1
-98.172295,-40.801136,0
-38.24389,-84.87358,0
68.104904,96.45453,1
-82.03816,-85.506004,0
77.62677,60.296112,1
13.669098,-22.75064,1
-85.76046,-70.28322,0
77.800735,-87.85817,1
-31.334404,-30.88726,0
-3.9738846,86.622696,0
-51.470985,84.01427,0
-28.961456,-96.20265,0
93.28099,34.751205,1
78.97095,87.65698,1
54.285034,-99.020485,1
-30.192596,-82.730064,0
-47.920258,-75.43529,0
89.530975,88.30771,1
80.844894,-50.860756,1
37.88118,-25.77362,1
94.3542,21.720528,1
17.977234,-90.38075,1
78.206024,-74.90297,1
-17.30413,-75.298164,0
89.88118,69.25993,1
37.575592,-77.41424,1
-68.81545,85.97829,0
-78.8482,9.943367,0
-93.114555,42.685974,0
-48.989754,-33.1399,0
-81.12104,20.168724,0
97.478836,73.1172,1
46.948914,83.11038,1
26.76091,95.84227,1
-24.779785,13.377365,0
41.44574,-12.588966,1
37.646957,-27.009285,1
38.714783,-57.321598,1
76.38959,-82.94427,1
-94.8048,-78.93735,0
-66.30693,86.48912,0
-27.705261,-48.298264,0
30.8853,76.204056,1
66.98529,-91.154045,1
-72.6271,-3.5160217,0
-89.615326,-30.15335,0
-1.9804916,-76.40396,1
-59.880676,49.545853,0
19.049324,-29.734428,1
62.333755,-57.43288,1
-89.37343,97.45329,0
-24.65548,98.953125,0
-51.48065,35.947098,0
-50.679718,-91.20913,0
27.764046,-10.399239,1
95.00151,77.910645,1
38.004486,-48.377747,1
9.356812,-60.559647,1
93.18762,81.13431,1
47.205338,-35.05809,1
47.555557,59.30072,1
-64.78244,-85.948135,0
25.381233,72.631775,1
18.33966,-7.006378,1
-6.3466263,55.652634,0
-91.43051,80.02414,0
-85.07645,65.93881,0
92.14494,-80.17694,1
-68.21353,-38.40657,0
-56.41182,-10.97245,0
-45.027786,-95.43944,0
-6.317642,91.56183,0
-46.21298,22.740303,0
3.3398743,55.105087,0
-19.353073,29.690567,0
6.454323,-31.012848,1
-99.293495,-77.22855,0
2.210907,28.99672,0
-56.907227,58.908234,0
0.9630203,36.0318,0
-57.988018,-58.28062,0
57.665604,-66.7821,1
94.00496,-55.42407,1
-37.011795,60.06421,0
21.884537,-58.77033,1
4.6142807,52.423935,0
-93.60381,18.966972,0
59.865417,-76.53026,1
23.401001,-91.18386,1
35.672134,23.591026,1
7.387985,83.155975,0
-66.95393,96.06453,0
-48.619823,43.143982,0
-19.409386,-79.454285,0
48.80725,-53.297474,1
-44.77963,67.87308,0
84.67491,12.371933,1
-11.857658,77.37343,0
91.369125,75.15962,1
40.28459,-88.19915,1
98.69124,67.58475,1
23.741005,45.237976,1
-71.77235,52.43808,0
44.433746,-4.266823,1
8.915749,-56.652687,1
46.07724,-72.857346,1
23.675262,15.058098,1
46.661133,-86.40834,1
36.232574,-72.588425,1
-23.948097,-14.835297,0
-7.227478,65.31937,0
46.945694,-45.120663,1
-55.188877,-68.392525,0
21.288063,64.69409,1
-2.3107758,-79.5793,1
70.40874,82.24588,1
53.345978,45.94937,1
-30.49733,30.207886,0
86.53824,-95.43906,1
-84.27889,36.60405,0
-29.570099,-92.01112,0
-85.98045,57.111618,0
-49.516792,41.051712,0
36.0421,39.32869,1
-45.15843,69.44562,0
-75.29544,74.17871,0
24.90152,51.473877,1
90.77136,11.069466,1
51.529037,-7.852867,1
27.604507,-98.88067,1
