% attributes count = 2
% vectors count = 500
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
10.1406555,352.83453,0
-399.88846,603.38635,0
-460.7607,708.05554,0
-390.7395,622.74756,0
90.51416,-473.24454,1
-180.80826,-198.09332,0
872.5729,-141.46689,1
-71.50244,316.38214,0
-316.3676,640.2982,0
625.02576,-197.81122,1
991.05725,948.6017,1
77.18884,976.76953,0
745.8286,839.2477,1
531.015,-440.24347,1
-258.6862,250.4289,0
698.04346,796.7068,1
401.39374,142.4057,1
-469.20862,-140.82468,0
-494.43967,-334.5999,0
691.01306,-463.4247,1
528.03455,187.90332,1
21.344238,449.242,0
984.2582,979.99927,1
-366.8302,497.95612,0
941.30115,-269.4182,1
-177.32425,422.89636,0
158.78326,883.4983,0
923.0404,674.583,1
183.84058,-494.3244,1
-106.40817,300.83655,0
127.47931,-449.80768,1
936.50635,727.11694,1
-199.66049,949.0326,0
218.2392,152.82404,1
883.45325,-36.08615,1
856.38074,803.22766,1
854.0126,139.10553,1
-287.00217,465.66266,0
977.47217,-462.44055,1
212.76843,-400.5349,1
-184.5032,-299.05133,0
-121.6622,841.8347,0
384.31958,-44.634613,1
546.3214,936.4075,1
330.01172,287.4549,1
295.25,987.77954,0
265.97424,40.664856,1
-18.501862,993.56714,0
743.64417,-371.93286,1
-59.139343,-174.19974,1
199.96613,-173.13834,1
371.93475,225.54144,1
144.61652,510.19812,0
672.838,938.579,1
-183.72806,884.35535,0
-444.96014,355.89154,0
50.399963,933.59375,0
607.20154,-69.71011,1
161.10956,331.15088,1
127.92059,-279.7658,1
246.52881,52.873657,1
-10.857697,163.29083,0
480.98926,329.8888,1
531.7499,605.02966,1
-342.02148,-101.516174,0
531.4646,204.3797,1
-4.618347,-250.97098,1
606.6841,603.5519,1
8.964569,-258.70496,1
570.2572,189.59882,1
-398.63693,-459.07715,0
154.44092,385.52478,1
-97.977295,-158.91727,0
762.4049,-308.42697,1
328.59528,-235.49176,1
920.64636,651.90674,1
322.2292,194.12085,1
924.54834,548.3645,1
238.00134,-444.63812,1
284.06055,421.31244,1
947.42126,-229.87405,1
488.10303,-12.170502,1
832.4955,-279.15677,1
-185.20914,169.5509,0
20.27655,603.7843,0
419.94482,256.46136,1
-76.873566,513.0641,0
-261.39603,218.76868,0
413.1106,481.09808,1
333.37402,-163.29654,1
768.99475,-492.5814,1
219.44293,147.67987,1
891.2532,335.78247,1
-111.03516,711.7179,0
184.30212,889.40796,0
747.2617,869.36816,1
-44.139404,345.95172,0
459.911,511.5921,1
-319.1073,-172.5057,0
-206.71527,898.1454,0
-477.9738,-403.67575,0
411.47687,249.9704,1
89.645874,484.7177,0
269.80115,-298.0487,1
563.0453,-453.8148,1
219.16284,235.09253,1
479.0797,596.8113,1
-293.39594,411.77753,0
-273.3037,-81.66202,0
-474.8054,614.225,0
64.524536,419.54834,0
-68.81732,34.60193,0
804.3971,-0.7197571,1
107.94635,885.4686,0
676.2256,-276.9439,1
914.7777,691.3163,1
-190.90588,715.839,0
613.906,585.92847,1
229.73535,885.8302,0
821.4099,776.1327,1
292.74652,228.49841,1
776.79297,740.22705,1
-483.04755,516.185,0
671.9889,308.95227,1
409.26196,156.65564,1
223.43732,28.349731,1
11.17038,403.87268,0
410.61487,-372.819,1
103.74542,926.0376,0
-158.97043,-493.19745,1
754.4912,-20.392517,1
535.17944,938.47705,1
683.91943,-396.4847,1
555.3512,92.06964,1
-229.03363,335.22736,0
-170.62283,130.91394,0
904.57495,959.54724,1
744.59375,-109.647,1
-176.17642,732.2291,0
-391.76385,112.04315,0
70.91339,373.48944,0
-111.621185,332.5802,0
710.1378,401.4104,1
-235.72275,823.3425,0
-458.36234,-427.99673,0
-73.4162,448.66333,0
-338.69214,811.3535,0
776.4115,951.53235,1
387.6526,-434.20175,1
677.5875,989.9939,1
792.69543,958.48486,1
718.6847,233.24554,1
-162.76578,-475.05768,1
-459.4579,-15.840851,0
420.78906,-393.55548,1
680.979,624.5348,1
13.526306,707.97473,0
81.28125,680.8617,0
941.24854,777.50146,1
888.78064,481.70245,1
845.2246,-64.94446,1
-23.525635,723.0298,0
-163.80658,-326.25357,0
184.12268,274.93622,1
406.3075,970.38745,1
-334.3635,752.10046,0
-245.90865,80.79962,0
-95.18613,-268.76395,1
815.6731,554.1415,1
-64.39807,531.4606,0
480.60767,681.7649,1
74.060486,-321.8844,1
202.54083,699.12415,0
537.0725,547.0304,1
-6.2250366,584.16736,0
187.59271,-265.4359,1
-381.52136,242.4184,0
307.849,418.97424,1
671.84216,-262.3934,1
760.40344,-129.24881,1
151.914,17.233093,1
-347.64478,833.5211,0
597.16223,294.8609,1
670.2101,732.9607,1
375.98828,885.19604,1
602.06433,-421.1178,1
-225.52142,344.1778,0
709.74756,-494.76334,1
135.61444,-255.67548,1
56.436523,-355.75275,1
456.96802,315.48303,1
135.00317,954.2267,0
554.5962,-497.093,1
678.9773,-284.1548,1
648.4021,738.2438,1
371.50128,678.7064,1
-481.33008,-115.46802,0
-201.97324,779.05396,0
-275.2166,403.72144,0
415.74817,-39.730103,1
265.3263,804.4968,0
-463.1123,-89.45743,0
993.8181,-140.65442,1
343.94653,986.67017,0
86.27368,932.8319,0
772.90295,-280.56885,1
885.5842,537.94653,1
-284.9118,594.29407,0
23.39978,-65.825806,1
900.09094,771.4519,1
-157.24731,699.57825,0
530.5349,-448.74323,1
314.0938,-250.27617,1
744.9497,205.09729,1
-146.27576,238.66809,0
787.1969,-222.40195,1
716.78625,661.52,1
860.03687,623.7373,1
447.03784,-215.7734,1
-463.58243,-225.93204,0
-277.43295,254.26855,0
794.93665,722.6929,1
840.4127,895.85156,1
235.6753,405.98334,1
533.7405,764.9562,1
319.22314,985.24744,0
-187.21841,-466.7382,1
-444.79025,563.641,0
565.1771,685.48706,1
447.02808,-343.41724,1
242.67584,-147.90622,1
176.6839,95.77191,1
99.32184,858.5736,0
987.82336,-420.37738,1
131.32129,753.6964,0
995.98987,787.5205,1
100.71698,182.11829,1
723.02844,351.7685,1
303.80334,991.65784,0
-482.69156,-470.56702,0
70.90015,-87.680695,1
683.04895,136.51208,1
856.6626,12.799011,1
-399.4677,-301.05957,0
-300.46365,-69.26456,0
874.3612,338.9093,1
795.27844,585.3678,1
99.16058,-349.1808,1
942.6438,715.54346,1
681.2456,728.8992,1
679.4015,142.16864,1
300.77594,88.11481,1
33.7724,-367.7768,1
41.78363,-28.546906,1
970.19336,141.36206,1
-42.787354,460.0122,0
-191.00592,533.90515,0
372.72467,397.5376,1
-352.86755,122.66797,0
566.52527,-91.86215,1
-398.4342,536.6133,0
92.83368,-275.12347,1
538.1481,511.70715,1
-56.133118,657.77747,0
-162.87756,709.6387,0
969.328,812.4955,1
681.3386,-399.78372,1
993.3873,125.493774,1
335.2608,796.2794,1
-112.986755,408.0343,0
411.63483,504.8695,1
468.25897,389.6289,1
198.37311,-44.822388,1
-485.2721,721.8103,0
740.7688,782.4418,1
380.94214,-454.82428,1
43.58954,387.49237,0
-281.2951,-463.38162,0
973.90515,754.048,1
-399.20392,339.50226,0
208.68958,590.1393,0
947.4612,437.25153,1
881.2969,966.19275,1
51.148376,-139.58578,1
937.84094,-149.66675,1
187.82294,-381.27414,1
118.32269,91.364624,1
792.9293,923.0386,1
428.02582,-28.331726,1
966.6974,607.1946,1
-37.733124,445.90924,0
156.98236,677.0148,0
492.01392,-403.03238,1
748.1991,602.53674,1
809.2003,177.91602,1
962.1598,830.4762,1
-31.258636,868.14014,0
450.74188,526.6024,1
-250.67805,-447.14716,0
731.31213,262.3056,1
-113.045044,538.27734,0
183.703,-263.89893,1
414.1209,-360.31744,1
192.281,169.15283,1
-237.0187,-473.77695,0
-321.72723,-265.88287,0
-336.28256,575.19653,0
726.00586,-231.30673,1
788.48,778.8535,1
-237.90451,-410.76492,0
57.743042,959.29834,0
798.8528,-44.383087,1
539.0403,181.29944,1
102.312744,646.2617,0
-71.881256,308.97394,0
291.27448,-318.17096,1
209.48071,-369.6532,1
816.6184,987.527,1
247.09082,873.67993,0
-490.08774,207.34796,0
756.71106,-238.75223,1
926.9347,978.74963,1
358.88354,989.8876,0
-454.7517,-256.61566,0
706.0155,693.17957,1
505.31744,-391.54816,1
18.328308,-472.48584,1
511.91754,384.0865,1
-248.38249,533.58276,0
236.70221,704.9054,0
54.828186,-144.02289,1
583.78906,98.43512,1
657.3843,-243.38501,1
-1.901123,489.59692,0
355.01807,632.6061,1
610.9264,-71.22644,1
838.53174,445.95477,1
-71.15582,301.19318,0
232.47852,91.145874,1
