% attributes count = 2
% vectors count = 1000
% Non-separable linear (noise = 50.0% label flips)
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
-368.00613,224.55774,1
167.08575,-242.38391,1
106.420044,-300.94946,0
488.73108,-389.79688,0
-5.451416,31.458069,1
-215.10562,-288.70587,1
-52.48941,216.5393,1
-2.8549805,433.64984,0
-149.02097,-480.69092,0
496.43182,-317.42957,0
-268.4594,-166.89087,1
-372.1029,-312.57047,1
-333.7094,-279.3891,1
-363.88486,-33.29956,0
-228.93192,-375.19974,1
-88.90491,-25.4068,1
407.1139,270.75372,0
-478.60605,240.18982,1
227.96313,-113.8053,1
-21.954468,473.75598,1
385.9278,-176.15976,0
-483.23636,218.8244,1
225.31165,-82.30109,1
232.94128,48.66217,1
-250.87311,316.92023,0
-336.87448,-35.296448,0
496.03326,154.57117,0
-191.43094,-227.82,1
-310.162,-313.2663,0
-256.32117,-448.89197,0
407.41595,113.37048,1
369.1181,472.48303,1
381.4245,222.15863,0
252.25684,-259.6764,1
37.68341,7.4818115,1
-35.2305,277.34113,1
-363.5899,158.4123,0
-331.5052,369.58032,1
411.37744,-396.9022,0
-371.89923,94.35535,1
398.091,385.65656,1
-273.55408,274.0562,1
24.74939,-49.48593,0
231.43945,-479.36246,1
368.39447,255.00824,0
-10.764404,-196.56625,0
410.521,32.822327,1
-202.84824,-175.1518,1
365.58173,419.05865,1
12.072693,309.78564,1
-296.71442,125.06085,0
-30.545715,387.6698,0
389.18146,441.85638,0
-310.58722,399.60718,0
-27.509705,-248.38982,0
-283.31238,323.70856,0
-152.92108,-445.0903,0
39.294006,251.59863,0
489.34692,-431.90356,0
-462.90707,-61.52011,1
-29.023346,421.11755,0
-321.1562,-95.655914,1
87.18964,276.2929,1
488.98376,198.54834,0
111.47876,97.63757,1
-410.31955,114.318054,0
361.7074,-193.51355,1
257.80664,-488.94534,0
362.84253,-438.44733,1
460.41083,174.69409,0
-361.85455,471.50122,1
207.9367,-179.21927,0
-180.021,178.79865,0
-74.34842,-30.784729,1
406.98297,-389.94983,0
-53.845764,338.56158,1
-283.4265,357.16705,0
396.97772,-487.07202,1
297.75836,394.31024,0
346.602,114.27362,1
-266.7649,328.3,0
-99.070435,302.8689,0
-377.37146,-22.40625,1
253.62238,160.78705,0
-101.62454,-448.5578,1
402.6848,-33.167175,1
76.91168,2.7158813,1
189.22668,-77.81113,1
-267.9462,-376.67868,1
-498.77026,-42.860107,0
333.27655,-319.86624,1
346.05,-439.7561,1
-395.68393,-186.12433,1
132.83978,388.85858,0
9.407745,177.15997,1
-55.504578,-192.52353,1
-305.4065,426.65192,0
14.406372,-431.7694,1
-174.11288,-64.470795,1
-325.6244,3.4195862,1
447.51672,105.54614,1
-3.376587,297.0824,0
-298.30103,-245.6761,0
426.70837,392.49243,0
23.039307,-23.836517,1
279.27325,-327.20264,1
59.177612,38.741028,0
-149.57394,-182.36926,1
-64.94653,120.42328,0
-433.17087,-169.0386,1
-271.61688,-477.59122,1
441.61047,-406.7913,0
-137.2779,337.13715,1
-287.68326,-100.91513,0
-447.1988,21.937988,1
-110.53488,-416.04437,1
-497.46384,439.14136,0
210.85486,344.84094,0
103.93201,377.12128,0
263.58966,353.4842,0
306.6504,479.16284,1
61.52124,-88.94861,0
-188.25787,-331.33307,0
331.2218,-323.28888,0
24.33496,281.95428,1
17.16632,432.18878,0
311.12115,87.5838,1
-159.03568,-265.13434,1
128.42316,489.33026,1
86.52472,23.45343,1
-108.60263,456.30756,0
1.1159668,-70.05542,0
467.42206,-2.4077148,0
341.44983,423.52264,0
-383.3698,371.38757,0
-383.92313,467.38715,1
-163.50699,183.43018,0
-385.67593,-344.14142,0
-41.18683,251.02869,1
423.40027,-338.59222,0
-393.20166,-325.26233,0
-453.32565,-348.99957,0
-345.7173,228.00818,0
96.91412,316.8365,1
92.74823,-373.11502,0
-330.25214,43.555298,1
-44.45514,-170.5329,0
147.93799,-465.5164,0
-29.52713,-487.16092,1
-238.71951,22.641846,1
-493.60663,-270.19977,0
-433.0282,-126.04199,0
-211.61789,327.1264,0
-370.08337,-126.67139,0
-282.391,-448.65576,0
-497.6656,-11.468048,0
431.96478,-161.0169,1
-270.28406,-300.84985,0
-236.30771,-280.20685,1
-429.91754,-378.9398,0
320.01917,109.14014,0
-398.09177,-237.9299,1
157.99683,-242.75604,1
-468.8593,218.12573,1
118.295105,-92.45853,1
79.53583,-83.697266,0
294.29443,115.503845,1
56.92578,381.49646,1
-140.93405,-64.10419,1
472.84772,-253.80896,1
367.21686,-284.2342,0
133.85004,-68.35565,1
-448.56046,-130.68677,0
-420.71307,245.87921,1
-297.81665,-232.01367,1
329.93933,-492.5113,0
-342.74408,185.38055,1
331.64026,199.8078,1
-262.663,194.27563,1
-336.5965,369.69385,1
191.20734,-453.12024,0
211.39368,-161.90402,0
-294.3222,75.33728,1
173.3493,411.76123,0
-318.64313,145.95581,0
211.5658,-150.33221,1
464.99286,-22.529358,0
496.92487,313.8227,0
-202.48059,-97.10748,1
134.26624,438.5157,1
-83.649994,-200.12424,0
-194.9602,298.45538,0
120.00989,-258.24484,1
352.9544,-195.21524,1
38.83313,-92.02173,0
340.40356,66.00134,0
280.05035,338.01135,0
-142.15201,222.4007,0
-251.13568,-211.78418,1
-463.02155,198.79169,0
-444.33197,-250.15726,0
435.16083,-231.24753,1
-433.13126,273.20752,0
279.04364,-370.6648,0
-46.794098,205.2121,1
206.82172,-260.5204,1
442.20508,-456.5489,0
280.91882,-333.0497,1
-155.39575,20.850586,1
477.0572,-147.2944,0
49.196472,-387.3285,0
-165.00156,-429.52127,1
364.4037,177.18372,0
-104.30652,-487.90616,0
422.76227,-151.32996,1
286.09692,-258.36346,0
-2.0433655,464.81384,1
355.26257,-343.10437,1
-48.435852,269.99982,0
-455.7907,294.2204,1
113.62506,353.53088,1
-210.02762,79.69562,1
489.7442,-108.9798,1
-254.35866,28.80188,0
-393.21994,-186.0781,1
139.32776,-461.148,1
-314.75256,263.8595,1
-185.93375,-289.29346,1
332.2088,244.50403,1
177.66565,-467.33554,1
-446.61517,-414.4591,0
158.41516,10.98819,1
-395.92685,423.90576,0
-306.90503,236.09607,1
-151.2941,302.00415,0
73.61133,-474.22678,0
-261.14667,17.973022,0
-374.693,-171.58948,0
-93.58371,47.982483,0
-416.99075,-61.23581,0
406.74872,-374.22147,0
241.45007,261.37714,1
336.4879,12.668152,1
478.0011,-365.1453,1
440.79773,-353.63556,0
242.73773,432.73547,0
259.27344,415.83112,1
170.6048,-90.27664,0
-269.4829,389.64917,1
-148.31308,-261.6009,0
-329.14722,-282.4735,1
-321.05078,350.93744,0
-101.85031,-159.7185,0
430.85883,79.41766,0
19.500427,466.75818,1
-386.57553,-9.488983,0
-379.34927,312.3274,0
28.702087,-403.99332,1
161.5791,320.43842,1
422.86554,447.02783,1
-280.67133,-94.476105,1
436.5733,-309.00888,0
-454.1722,-266.2874,1
395.49036,487.35046,1
491.59875,190.43933,0
-126.760925,288.80005,1
-250.57274,136.19312,0
-11.587006,243.60394,0
205.59424,-89.77179,0
289.13672,-246.31223,0
357.3885,65.87445,0
-17.591858,-279.464,0
218.42072,-309.22833,0
-497.5995,462.14594,0
-361.2736,-266.5235,0
-274.80136,221.51721,0
-187.37277,-201.15387,0
-57.86441,-310.4897,1
-471.458,-165.3096,1
336.89594,-91.63754,1
-426.99255,-120.43631,1
-318.35284,229.555,0
74.55292,116.27875,0
205.31946,-109.18387,0
-52.86725,339.67993,1
-304.68802,18.405762,1
-250.2252,234.20691,1
396.77612,15.958984,1
-451.94128,-377.53387,1
-132.49756,-19.606659,0
-130.02979,-182.04056,1
-250.51938,-104.04178,1
-233.56552,42.69409,0
220.4527,353.50714,1
-214.8533,374.92273,0
402.14966,-325.50336,0
361.7857,116.884766,0
110.1814,-114.10275,0
-461.20157,-267.80914,0
339.4051,-412.1197,0
-100.97235,434.32092,0
-234.4375,-477.58624,0
306.75104,120.37787,1
208.47107,-473.76138,1
186.3075,68.42853,0
-484.63733,-478.5399,1
139.38257,-245.0025,1
178.2539,-456.60483,0
254.06097,325.98035,1
361.5395,357.47668,1
336.65778,-134.30261,0
-27.756897,-399.0995,1
-107.29001,273.17987,1
214.32214,273.1599,0
184.8277,-437.8901,1
410.7749,-237.61636,0
337.7151,-36.96866,0
105.57196,-51.939423,1
-223.19156,-292.68906,1
-153.95004,-421.2085,1
355.73645,-382.49268,0
41.647583,446.49615,1
225.17065,95.852844,0
-235.1001,-476.74872,1
-255.5531,190.87408,1
-154.5249,397.74786,0
-242.6688,-296.93597,0
-430.35254,46.20337,0
111.07764,-242.86273,1
369.7519,245.30511,0
-43.043854,-414.21426,0
126.50769,127.11725,1
-258.93152,24.922363,1
-160.81384,379.45715,1
-216.25449,171.94183,0
93.82892,98.51703,1
408.23157,-12.794189,0
-200.59479,38.822144,1
-34.313507,177.31403,1
309.0728,11.205719,1
111.628845,261.16376,0
213.63739,31.441772,1
-86.47586,232.62329,1
-376.2138,-103.504974,1
-48.100098,65.00775,0
-344.49664,-415.14056,1
456.61365,492.4909,1
-470.08224,-38.093475,1
-318.9318,14.027283,0
297.2251,-12.861237,0
442.48236,30.084778,1
-281.31653,31.228882,0
-125.1084,-2.83786,0
487.29175,127.06836,1
-420.65756,-302.77277,0
354.78864,407.97632,0
185.61243,318.27673,0
150.09332,-418.16296,1
-168.53787,349.47162,1
334.16357,-196.78995,1
-264.49884,52.91339,1
22.2641,-465.74487,0
201.7132,-100.870514,1
122.472046,24.34668,0
407.87744,181.64899,0
-133.5484,-470.8673,1
-146.21912,-433.54355,1
-55.49478,-229.00714,0
-417.6693,-484.7141,1
272.9538,-100.2814,0
238.43329,-49.81671,0
111.17169,127.00897,1
-255.34853,-275.04517,1
473.1452,-389.8591,0
193.91278,133.30298,1
131.14954,174.91876,1
379.52484,-68.18808,0
-254.16283,268.5783,1
-110.074066,-21.497498,1
-41.635193,-410.5546,1
-374.67557,296.36328,0
498.69598,168.43286,0
-22.128082,49.854736,1
274.3152,91.37042,0
335.3869,-123.44925,0
-48.432587,411.06207,0
396.86456,223.36145,1
95.85602,261.073,0
448.9331,-303.41434,0
-462.96597,453.6667,0
-34.234253,18.665894,0
234.42084,423.024,0
-72.65503,485.11792,0
-334.24216,-190.27747,0
165.86285,-2.2702637,1
211.74738,118.17151,1
-42.209198,-98.320526,1
380.13715,106.880554,0
386.9878,233.49487,1
160.0329,80.56915,0
-333.7627,274.4436,1
-360.46695,278.54974,1
371.7871,-147.47119,1
1.044281,-372.23727,0
215.66974,-79.80875,1
-456.2016,330.4176,0
-351.48154,0.37765503,1
-190.94135,-38.635345,1
-107.11539,8.979309,0
-290.9329,-118.05026,1
392.1623,266.8274,0
-283.38525,54.909668,1
-391.4937,-328.64413,0
260.7397,-464.54913,0
396.80182,-359.49878,1
19.902039,-419.50092,0
149.91937,-374.9303,1
-496.67297,71.55817,1
-320.86224,438.19672,0
282.22205,-306.09424,1
-464.40372,21.072021,0
265.28998,-489.92328,1
-336.33118,374.09424,1
219.30212,459.72498,1
-78.160065,475.2113,1
199.2409,208.85614,0
-75.516205,-2.5576782,1
-20.651703,253.82129,0
-290.75018,362.37244,1
-56.152344,400.9463,1
76.77356,134.55542,0
103.57202,-370.26486,1
-213.7417,403.914,1
23.50885,-108.44086,1
-376.91376,-278.06726,1
-30.471191,-121.12311,1
230.87463,377.10724,1
-324.65503,51.403137,0
365.0135,-487.96338,0
