% attributes count = 2
% vectors count = 1000
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute class {0, 1}
@data
71.789,56.408127,1
-54.596657,-97.86111,0
-54.585472,-23.075638,1
25.406586,75.8891,0
78.03729,13.960541,0
98.342316,22.10022,0
55.404495,36.65065,0
-7.2804947,-37.189884,0
-78.193405,50.34973,0
70.08118,-23.204094,0
39.314407,48.30887,1
82.237564,32.50609,0
-70.00951,-41.597725,1
-46.77226,-58.699432,1
18.663994,-39.526577,0
-45.80686,39.43741,1
-40.17404,-46.587257,0
-39.61429,77.72896,1
5.2375107,90.5038,0
26.098083,-7.8609467,0
-61.795918,-51.055573,1
-39.41211,42.314667,0
39.788986,-13.788162,0
-79.35673,-81.97829,1
69.52516,-97.08486,1
97.248184,-60.054676,1
30.819168,-20.838722,1
-81.82712,19.950401,1
75.98335,-11.179398,0
-72.06618,-70.31154,0
98.8139,-7.6379623,1
-36.492245,-27.236961,0
-90.638145,-57.54457,1
-0.107803345,-83.71311,1
-84.096504,-54.995567,0
-15.100487,48.71222,0
-82.635185,-51.250305,1
-32.35058,62.79854,0
-15.77684,-4.4885025,0
-90.344475,70.3837,1
60.207153,66.34677,1
70.13051,28.500381,0
18.324852,81.57025,1
6.482147,67.96547,0
54.629333,39.30591,1
14.634155,73.871735,0
-12.188866,-48.06439,1
48.851746,-35.188858,1
72.69887,15.821144,0
63.62726,80.917435,0
-64.06792,-60.316532,0
76.70662,31.062561,1
41.706238,-16.894493,1
-12.291878,-87.71341,0
18.206528,-99.77778,0
35.571106,29.66594,0
79.15761,35.597412,0
-65.78088,-23.411736,0
-97.80091,29.75505,1
92.650406,-67.5632,0
-46.687515,-79.59557,0
-34.127045,-19.999779,1
-64.59486,91.01761,1
-31.246933,5.8988953,0
84.90973,49.406616,0
47.38948,25.71276,1
-77.234344,-97.00073,1
-17.118515,-42.557144,0
99.67026,-68.29991,1
0.52249146,72.9445,0
-41.34532,-0.012016296,0
83.09271,91.92061,1
-96.1393,-36.93111,1
8.989105,86.21265,1
-69.74784,-67.33716,1
-67.26029,57.111588,0
86.647,-89.06856,0
34.6969,-6.7648087,0
50.035294,-29.910202,1
-64.53902,-46.43237,0
-46.83727,53.715134,1
5.297043,26.288437,1
84.69197,-33.639847,0
-84.70569,-49.83673,0
61.161667,-27.129059,1
50.47397,-52.96229,1
26.079788,79.243225,0
20.048073,81.24867,0
-28.179626,53.747543,1
0.51576996,48.80519,1
-3.0747452,70.60811,0
86.57161,4.622864,0
31.700592,28.302048,1
15.5913925,92.93364,1
-0.22303009,79.50188,1
-4.176285,-28.385147,0
-21.922112,-11.867287,0
-12.205849,67.35043,1
-97.70199,38.65445,0
53.646347,-98.61891,0
3.7872162,10.576271,1
50.393784,55.63121,1
5.302223,-96.18681,0
-40.09185,61.09749,1
30.432098,73.620926,1
-60.1282,-26.19168,0
62.00995,-17.306694,1
74.19066,32.044968,1
-79.750946,87.143234,0
86.198074,69.86394,0
-92.18123,86.46254,1
50.447403,-11.342552,1
7.1144257,38.48549,1
-44.56097,87.29361,0
-80.54486,-18.438293,1
96.0742,33.421814,1
46.125793,39.64766,0
-63.82883,69.32089,0
-49.306507,93.29553,0
-87.41322,15.089584,0
68.88599,71.375854,0
-52.69431,-75.710754,0
-11.101021,5.0107574,1
-4.3906174,-89.01986,0
88.062256,46.187134,0
-50.186394,85.452576,1
-57.52887,7.811615,0
11.136246,76.226135,1
-80.01059,57.878296,0
68.47293,79.83133,0
-96.16457,-14.354691,0
23.035309,53.631454,0
-11.969978,-50.675976,1
72.14276,-29.004082,0
-64.04959,69.22316,1
23.521439,-2.6171799,1
32.10112,13.377693,0
-77.79848,59.58519,1
-97.63187,-40.37419,1
-86.16568,92.1765,0
-18.778725,-56.554276,0
-21.330261,-86.937675,0
-98.2939,8.573578,0
-3.3859863,46.391266,0
46.127823,70.81456,1
52.170486,-47.34367,0
76.95923,47.226166,1
-25.525307,3.7600021,1
-42.041027,65.06676,1
7.2632446,50.632446,1
-51.59949,-20.9917,1
1.0352936,52.561768,1
16.691101,31.93071,0
58.819885,84.97995,1
-34.110443,94.34123,0
-98.826546,-85.3228,1
19.46669,-80.33353,0
57.994553,-38.698536,1
92.22836,-73.70773,1
66.52666,-31.080215,0
14.143631,-59.402557,0
-62.028675,43.13289,1
-86.225914,46.03781,1
-59.727062,-96.123634,0
-32.657806,-71.343796,0
82.057205,32.118576,0
27.838722,95.66786,0
31.98059,5.0602646,1
48.960907,-13.179985,1
87.820145,-91.58838,0
78.47621,-26.757118,0
48.824814,-40.499176,0
-83.42169,30.069519,0
30.854996,-20.635544,1
3.0775757,21.14682,1
-6.273712,-92.03661,1
-66.64769,-99.98784,1
80.39288,-8.97982,1
11.764824,-76.337326,0
-36.024536,90.81427,0
71.974976,16.569366,0
-13.647614,32.110535,0
-50.104733,-6.6699677,1
85.66313,18.115326,0
-55.06503,40.134384,1
-56.436153,4.211632,0
-8.94236,18.026611,0
-60.253666,47.85312,1
-42.21396,-55.634083,1
43.780655,-55.596302,1
73.76189,51.848907,1
-25.163658,-21.72187,0
7.3145523,45.28969,1
-50.275497,68.226944,0
-70.40509,62.749557,1
-40.196968,-48.850353,0
40.444855,96.63875,0
-32.206,50.920197,0
-46.065094,-1.4779129,1
-93.95191,22.252182,0
-47.58356,-55.629356,1
-42.80053,-16.125008,0
-57.61313,0.10639191,1
84.80701,-16.130196,0
-65.78799,35.057236,1
93.16882,30.932648,0
56.92267,-22.678795,0
